"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|SK","Without Sequence","172.34","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|SK","Without Sequence","177.16","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|SK","Without Sequence","165.98","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|SK","Without Sequence","173.88","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|SK","Without Sequence","172.20","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|SK","Without Sequence","182.89","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|SK","Without Sequence","182.34","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|SK","Without Sequence","173.79","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|SK","Without Sequence","186.53","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|SK","Without Sequence","178.86","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|SK","Without Sequence","149.66","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|SK","Without Sequence","147.26","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|SK","Without Sequence","124.98","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|SK","Without Sequence","135.21","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|SK","Without Sequence","128.75","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|SK","Without Sequence","101.64","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|SK","Without Sequence","107.03","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|SK","Without Sequence","101.82","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|SK","Without Sequence","117.73","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|SK","Without Sequence","172.63","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|SK","Without Sequence","194.80","",""
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","BZN|SK","Without Sequence","217.80","",""
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","BZN|SK","Without Sequence","209.62","",""
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","BZN|SK","Without Sequence","195.07","",""
