"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"10.08.2021 09:45 - 10.08.2021 10:00","4799","5064"
"10.08.2021 10:00 - 10.08.2021 10:15","4794","5044"
"10.08.2021 10:15 - 10.08.2021 10:30","4824","5084"
"10.08.2021 10:30 - 10.08.2021 10:45","4803","5096"
"10.08.2021 10:45 - 10.08.2021 11:00","4787","5094"
"10.08.2021 11:00 - 10.08.2021 11:15","4792","5094"
"10.08.2021 11:15 - 10.08.2021 11:30","4823","5113"
"10.08.2021 11:30 - 10.08.2021 11:45","4862","5130"
"10.08.2021 11:45 - 10.08.2021 12:00","4873","5150"
"10.08.2021 12:00 - 10.08.2021 12:15","4866","5172"
"10.08.2021 12:15 - 10.08.2021 12:30","4906","5193"
"10.08.2021 12:30 - 10.08.2021 12:45","4968","5241"
"10.08.2021 12:45 - 10.08.2021 13:00","4961","5241"
"10.08.2021 13:00 - 10.08.2021 13:15","4952","5228"
"10.08.2021 13:15 - 10.08.2021 13:30","4951","5246"
"10.08.2021 13:30 - 10.08.2021 13:45","4936","5229"
"10.08.2021 13:45 - 10.08.2021 14:00","4864","5173"
"10.08.2021 14:00 - 10.08.2021 14:15","4865","5200"
"10.08.2021 14:15 - 10.08.2021 14:30","4884","5236"
"10.08.2021 14:30 - 10.08.2021 14:45","4904","5292"
"10.08.2021 14:45 - 10.08.2021 15:00","4916","5299"
"10.08.2021 15:00 - 10.08.2021 15:15","4948","5341"
"10.08.2021 15:15 - 10.08.2021 15:30","4975","5344"
"10.08.2021 15:30 - 10.08.2021 15:45","5030","5421"
"10.08.2021 15:45 - 10.08.2021 16:00","5019","5422"
"10.08.2021 16:00 - 10.08.2021 16:15","5017","5433"
"10.08.2021 16:15 - 10.08.2021 16:30","5047","5448"
"10.08.2021 16:30 - 10.08.2021 16:45","5123","5529"
"10.08.2021 16:45 - 10.08.2021 17:00","5148","5540"
"10.08.2021 17:00 - 10.08.2021 17:15","5153","5543"
"10.08.2021 17:15 - 10.08.2021 17:30","5160","5590"
"10.08.2021 17:30 - 10.08.2021 17:45","5139","5617"
"10.08.2021 17:45 - 10.08.2021 18:00","5139","5663"
"10.08.2021 18:00 - 10.08.2021 18:15","5134","5658"
"10.08.2021 18:15 - 10.08.2021 18:30","5147","5680"
"10.08.2021 18:30 - 10.08.2021 18:45","5171","5710"
"10.08.2021 18:45 - 10.08.2021 19:00","5195","5767"
"10.08.2021 19:00 - 10.08.2021 19:15","5196","5736"
"10.08.2021 19:15 - 10.08.2021 19:30","5191","5718"
"10.08.2021 19:30 - 10.08.2021 19:45","5202","5685"
"10.08.2021 19:45 - 10.08.2021 20:00","5198","5686"
"10.08.2021 20:00 - 10.08.2021 20:15","5203","5656"
"10.08.2021 20:15 - 10.08.2021 20:30","5202","5696"
"10.08.2021 20:30 - 10.08.2021 20:45","5305","5741"
"10.08.2021 20:45 - 10.08.2021 21:00","5294","5718"
"10.08.2021 21:00 - 10.08.2021 21:15","5242","5649"
"10.08.2021 21:15 - 10.08.2021 21:30","5176","5572"
"10.08.2021 21:30 - 10.08.2021 21:45","5073","5459"
"10.08.2021 21:45 - 10.08.2021 22:00","4984","5355"
"10.08.2021 22:00 - 10.08.2021 22:15","4928","5278"
"10.08.2021 22:15 - 10.08.2021 22:30","4874","5208"
"10.08.2021 22:30 - 10.08.2021 22:45","4822","5143"
"10.08.2021 22:45 - 10.08.2021 23:00","4736","5060"
"10.08.2021 23:00 - 10.08.2021 23:15","4677","5003"
"10.08.2021 23:15 - 10.08.2021 23:30","4629","4968"
"10.08.2021 23:30 - 10.08.2021 23:45","4584","4921"
"10.08.2021 23:45 - 11.08.2021 00:00","4479","4846"
"11.08.2021 00:00 - 11.08.2021 00:15","4279","4687"
"11.08.2021 00:15 - 11.08.2021 00:30","4216","4616"
"11.08.2021 00:30 - 11.08.2021 00:45","4180","4564"
"11.08.2021 00:45 - 11.08.2021 01:00","4195","4520"
"11.08.2021 01:00 - 11.08.2021 01:15","4140","4458"
"11.08.2021 01:15 - 11.08.2021 01:30","4073","4364"
"11.08.2021 01:30 - 11.08.2021 01:45","4012","4277"
"11.08.2021 01:45 - 11.08.2021 02:00","4029","4237"
"11.08.2021 02:00 - 11.08.2021 02:15","3975","4196"
"11.08.2021 02:15 - 11.08.2021 02:30","3913","4178"
"11.08.2021 02:30 - 11.08.2021 02:45","3870","4140"
"11.08.2021 02:45 - 11.08.2021 03:00","3853","4130"
"11.08.2021 03:00 - 11.08.2021 03:15","3860","4113"
"11.08.2021 03:15 - 11.08.2021 03:30","3856","4127"
"11.08.2021 03:30 - 11.08.2021 03:45","3860","4091"
"11.08.2021 03:45 - 11.08.2021 04:00","3844","4108"
"11.08.2021 04:00 - 11.08.2021 04:15","3880","4140"
"11.08.2021 04:15 - 11.08.2021 04:30","3900","4170"
"11.08.2021 04:30 - 11.08.2021 04:45","3935","4176"
"11.08.2021 04:45 - 11.08.2021 05:00","3985","4250"
"11.08.2021 05:00 - 11.08.2021 05:15","4072","4303"
"11.08.2021 05:15 - 11.08.2021 05:30","4089","4311"
"11.08.2021 05:30 - 11.08.2021 05:45","4138","4319"
"11.08.2021 05:45 - 11.08.2021 06:00","4189","4410"
"11.08.2021 06:00 - 11.08.2021 06:15","4324","4625"
"11.08.2021 06:15 - 11.08.2021 06:30","4440","4787"
"11.08.2021 06:30 - 11.08.2021 06:45","4490","4853"
"11.08.2021 06:45 - 11.08.2021 07:00","4534","4944"
"11.08.2021 07:00 - 11.08.2021 07:15","4603","5063"
"11.08.2021 07:15 - 11.08.2021 07:30","4611","5110"
"11.08.2021 07:30 - 11.08.2021 07:45","4593","5100"
"11.08.2021 07:45 - 11.08.2021 08:00","4608","5120"
"11.08.2021 08:00 - 11.08.2021 08:15","4614","5139"
"11.08.2021 08:15 - 11.08.2021 08:30","4625","5173"
"11.08.2021 08:30 - 11.08.2021 08:45","4647","5192"
"11.08.2021 08:45 - 11.08.2021 09:00","4690","5232"
"11.08.2021 09:00 - 11.08.2021 09:15","4695","5239"
"11.08.2021 09:15 - 11.08.2021 09:30","4697","5260"
"11.08.2021 09:30 - 11.08.2021 09:45","4694","5249"
"11.08.2021 09:45 - 11.08.2021 10:00","4689","5254"
"11.08.2021 10:00 - 11.08.2021 10:15","4676","5276"
"11.08.2021 10:15 - 11.08.2021 10:30","4675","5311"
"11.08.2021 10:30 - 11.08.2021 10:45","4679","5314"
"11.08.2021 10:45 - 11.08.2021 11:00","4693","5322"
"11.08.2021 11:00 - 11.08.2021 11:15","4705","5332"
"11.08.2021 11:15 - 11.08.2021 11:30","4726","5328"
"11.08.2021 11:30 - 11.08.2021 11:45","4753","5318"
"11.08.2021 11:45 - 11.08.2021 12:00","4773","5330"
"11.08.2021 12:00 - 11.08.2021 12:15","4783","5345"
"11.08.2021 12:15 - 11.08.2021 12:30","4801","5366"
"11.08.2021 12:30 - 11.08.2021 12:45","4840","5414"
"11.08.2021 12:45 - 11.08.2021 13:00","4841","5389"
"11.08.2021 13:00 - 11.08.2021 13:15","4862","5411"
"11.08.2021 13:15 - 11.08.2021 13:30","4846","5394"
"11.08.2021 13:30 - 11.08.2021 13:45","4835","5360"
"11.08.2021 13:45 - 11.08.2021 14:00","4783","5301"
"11.08.2021 14:00 - 11.08.2021 14:15","4850","5373"
"11.08.2021 14:15 - 11.08.2021 14:30","4868","5393"
"11.08.2021 14:30 - 11.08.2021 14:45","4903","5421"
"11.08.2021 14:45 - 11.08.2021 15:00","4931","5417"
"11.08.2021 15:00 - 11.08.2021 15:15","4988","5456"
"11.08.2021 15:15 - 11.08.2021 15:30","5022","5497"
"11.08.2021 15:30 - 11.08.2021 15:45","5071","5549"
"11.08.2021 15:45 - 11.08.2021 16:00","5045","5564"
"11.08.2021 16:00 - 11.08.2021 16:15","5045","5576"
"11.08.2021 16:15 - 11.08.2021 16:30","5033","5600"
"11.08.2021 16:30 - 11.08.2021 16:45","5095","5638"
"11.08.2021 16:45 - 11.08.2021 17:00","5127","5650"
"11.08.2021 17:00 - 11.08.2021 17:15","5151","5665"
"11.08.2021 17:15 - 11.08.2021 17:30","5186","5688"
"11.08.2021 17:30 - 11.08.2021 17:45","5173","5687"
"11.08.2021 17:45 - 11.08.2021 18:00","5199","5691"
"11.08.2021 18:00 - 11.08.2021 18:15","5184","5691"
"11.08.2021 18:15 - 11.08.2021 18:30","5197","5724"
"11.08.2021 18:30 - 11.08.2021 18:45","5233","5753"
"11.08.2021 18:45 - 11.08.2021 19:00","5279","5756"
"11.08.2021 19:00 - 11.08.2021 19:15","5255","5753"
"11.08.2021 19:15 - 11.08.2021 19:30","5244","5725"
"11.08.2021 19:30 - 11.08.2021 19:45","5256","5707"
"11.08.2021 19:45 - 11.08.2021 20:00","5280","5700"
"11.08.2021 20:00 - 11.08.2021 20:15","5270","5711"
"11.08.2021 20:15 - 11.08.2021 20:30","5308","5752"
"11.08.2021 20:30 - 11.08.2021 20:45","5382","5812"
"11.08.2021 20:45 - 11.08.2021 21:00","5356","5757"
"11.08.2021 21:00 - 11.08.2021 21:15","5287","5700"
"11.08.2021 21:15 - 11.08.2021 21:30","5199","5608"
"11.08.2021 21:30 - 11.08.2021 21:45","5129","5505"
"11.08.2021 21:45 - 11.08.2021 22:00","5040","5388"
"11.08.2021 22:00 - 11.08.2021 22:15","4997","5302"
"11.08.2021 22:15 - 11.08.2021 22:30","4934","5248"
"11.08.2021 22:30 - 11.08.2021 22:45","4883","5161"
"11.08.2021 22:45 - 11.08.2021 23:00","4785","5046"
"11.08.2021 23:00 - 11.08.2021 23:15","4739","5017"
"11.08.2021 23:15 - 11.08.2021 23:30","4680","4962"
"11.08.2021 23:30 - 11.08.2021 23:45","4668","4926"
"11.08.2021 23:45 - 12.08.2021 00:00","4542","4793"
"12.08.2021 00:00 - 12.08.2021 00:15","4408","4663"
"12.08.2021 00:15 - 12.08.2021 00:30","4346","4610"
"12.08.2021 00:30 - 12.08.2021 00:45","4316","4571"
"12.08.2021 00:45 - 12.08.2021 01:00","4304","4507"
"12.08.2021 01:00 - 12.08.2021 01:15","4246","4417"
"12.08.2021 01:15 - 12.08.2021 01:30","4146","4354"
"12.08.2021 01:30 - 12.08.2021 01:45","4064","4295"
"12.08.2021 01:45 - 12.08.2021 02:00","4058","4249"
"12.08.2021 02:00 - 12.08.2021 02:15","4012","4174"
"12.08.2021 02:15 - 12.08.2021 02:30","3960","4192"
"12.08.2021 02:30 - 12.08.2021 02:45","3894","4155"
"12.08.2021 02:45 - 12.08.2021 03:00","3868","4133"
"12.08.2021 03:00 - 12.08.2021 03:15","3857","4100"
"12.08.2021 03:15 - 12.08.2021 03:30","3845","4116"
"12.08.2021 03:30 - 12.08.2021 03:45","3834","4098"
"12.08.2021 03:45 - 12.08.2021 04:00","3825","4101"
"12.08.2021 04:00 - 12.08.2021 04:15","3865","4113"
"12.08.2021 04:15 - 12.08.2021 04:30","3893","4165"
"12.08.2021 04:30 - 12.08.2021 04:45","3926","4197"
"12.08.2021 04:45 - 12.08.2021 05:00","3970","4240"
"12.08.2021 05:00 - 12.08.2021 05:15","4029","4289"
"12.08.2021 05:15 - 12.08.2021 05:30","4027","4309"
"12.08.2021 05:30 - 12.08.2021 05:45","4064","4328"
"12.08.2021 05:45 - 12.08.2021 06:00","4117","4388"
"12.08.2021 06:00 - 12.08.2021 06:15","4262","4560"
"12.08.2021 06:15 - 12.08.2021 06:30","4406","4735"
"12.08.2021 06:30 - 12.08.2021 06:45","4526","4816"
"12.08.2021 06:45 - 12.08.2021 07:00","4608","4886"
"12.08.2021 07:00 - 12.08.2021 07:15","4705","4958"
"12.08.2021 07:15 - 12.08.2021 07:30","4754","5020"
"12.08.2021 07:30 - 12.08.2021 07:45","4781","5055"
"12.08.2021 07:45 - 12.08.2021 08:00","4798","5068"
"12.08.2021 08:00 - 12.08.2021 08:15","4801","5062"
"12.08.2021 08:15 - 12.08.2021 08:30","4808","5085"
"12.08.2021 08:30 - 12.08.2021 08:45","4826","5126"
"12.08.2021 08:45 - 12.08.2021 09:00","4861","5088"
"12.08.2021 09:00 - 12.08.2021 09:15","4893","5094"
"12.08.2021 09:15 - 12.08.2021 09:30","4864","5089"
"12.08.2021 09:30 - 12.08.2021 09:45","4895","5108"
"12.08.2021 09:45 - 12.08.2021 10:00","4869","5112"
"12.08.2021 10:00 - 12.08.2021 10:15","4843","5143"
"12.08.2021 10:15 - 12.08.2021 10:30","4884","5172"
"12.08.2021 10:30 - 12.08.2021 10:45","4898","5180"
"12.08.2021 10:45 - 12.08.2021 11:00","4898","5191"
"12.08.2021 11:00 - 12.08.2021 11:15","4895","5188"
"12.08.2021 11:15 - 12.08.2021 11:30","4912","5212"
"12.08.2021 11:30 - 12.08.2021 11:45","4930","5247"
"12.08.2021 11:45 - 12.08.2021 12:00","4949","5238"
"12.08.2021 12:00 - 12.08.2021 12:15","4968","5236"
"12.08.2021 12:15 - 12.08.2021 12:30","4996","5266"
"12.08.2021 12:30 - 12.08.2021 12:45","5046","5285"
"12.08.2021 12:45 - 12.08.2021 13:00","5043","5291"
"12.08.2021 13:00 - 12.08.2021 13:15","5038","5292"
"12.08.2021 13:15 - 12.08.2021 13:30","5049","5264"
"12.08.2021 13:30 - 12.08.2021 13:45","5033","5286"
"12.08.2021 13:45 - 12.08.2021 14:00","4975","5216"
"12.08.2021 14:00 - 12.08.2021 14:15","5010","5276"
"12.08.2021 14:15 - 12.08.2021 14:30","5049","5277"
"12.08.2021 14:30 - 12.08.2021 14:45","5111","5330"
"12.08.2021 14:45 - 12.08.2021 15:00","5109","5360"
"12.08.2021 15:00 - 12.08.2021 15:15","5150","5381"
"12.08.2021 15:15 - 12.08.2021 15:30","5155","5418"
"12.08.2021 15:30 - 12.08.2021 15:45","5239","5464"
"12.08.2021 15:45 - 12.08.2021 16:00","5236","5474"
"12.08.2021 16:00 - 12.08.2021 16:15","5244","5501"
"12.08.2021 16:15 - 12.08.2021 16:30","5260","5510"
"12.08.2021 16:30 - 12.08.2021 16:45","5343","5589"
"12.08.2021 16:45 - 12.08.2021 17:00","5351","5626"
"12.08.2021 17:00 - 12.08.2021 17:15","5354","5607"
"12.08.2021 17:15 - 12.08.2021 17:30","5403","5614"
"12.08.2021 17:30 - 12.08.2021 17:45","5427","5617"
"12.08.2021 17:45 - 12.08.2021 18:00","5465","5626"
"12.08.2021 18:00 - 12.08.2021 18:15","5457","5633"
"12.08.2021 18:15 - 12.08.2021 18:30","5472","5644"
"12.08.2021 18:30 - 12.08.2021 18:45","5504","5691"
"12.08.2021 18:45 - 12.08.2021 19:00","5486","5706"
"12.08.2021 19:00 - 12.08.2021 19:15","5526","5699"
"12.08.2021 19:15 - 12.08.2021 19:30","5515","5693"
"12.08.2021 19:30 - 12.08.2021 19:45","5491","5679"
"12.08.2021 19:45 - 12.08.2021 20:00","5506","5673"
"12.08.2021 20:00 - 12.08.2021 20:15","5479","5666"
"12.08.2021 20:15 - 12.08.2021 20:30","5521","5735"
"12.08.2021 20:30 - 12.08.2021 20:45","5571","5763"
"12.08.2021 20:45 - 12.08.2021 21:00","5551","5710"
"12.08.2021 21:00 - 12.08.2021 21:15","5482","5627"
"12.08.2021 21:15 - 12.08.2021 21:30","5405","5569"
"12.08.2021 21:30 - 12.08.2021 21:45","5288","5457"
"12.08.2021 21:45 - 12.08.2021 22:00","5183","5345"
"12.08.2021 22:00 - 12.08.2021 22:15","5113","5246"
"12.08.2021 22:15 - 12.08.2021 22:30","5041","5202"
"12.08.2021 22:30 - 12.08.2021 22:45","4969","5169"
"12.08.2021 22:45 - 12.08.2021 23:00","4891","5077"
"12.08.2021 23:00 - 12.08.2021 23:15","4835","5023"
"12.08.2021 23:15 - 12.08.2021 23:30","4798","4964"
"12.08.2021 23:30 - 12.08.2021 23:45","4752","4933"
"12.08.2021 23:45 - 13.08.2021 00:00","4674","4820"
"13.08.2021 00:00 - 13.08.2021 00:15","4503","4672"
"13.08.2021 00:15 - 13.08.2021 00:30","4440","4600"
"13.08.2021 00:30 - 13.08.2021 00:45","4409","4576"
"13.08.2021 00:45 - 13.08.2021 01:00","4339","4512"
"13.08.2021 01:00 - 13.08.2021 01:15","4275","4452"
"13.08.2021 01:15 - 13.08.2021 01:30","4204","4350"
"13.08.2021 01:30 - 13.08.2021 01:45","4141","4289"
"13.08.2021 01:45 - 13.08.2021 02:00","4159","4225"
"13.08.2021 02:00 - 13.08.2021 02:15","4127","4165"
"13.08.2021 02:15 - 13.08.2021 02:30","4081","4147"
"13.08.2021 02:30 - 13.08.2021 02:45","3996","4128"
"13.08.2021 02:45 - 13.08.2021 03:00","3954","4103"
"13.08.2021 03:00 - 13.08.2021 03:15","3929","4096"
"13.08.2021 03:15 - 13.08.2021 03:30","3889","4084"
"13.08.2021 03:30 - 13.08.2021 03:45","3871","4079"
"13.08.2021 03:45 - 13.08.2021 04:00","3862","4065"
"13.08.2021 04:00 - 13.08.2021 04:15","3903","4100"
"13.08.2021 04:15 - 13.08.2021 04:30","3929","4153"
"13.08.2021 04:30 - 13.08.2021 04:45","3959","4184"
"13.08.2021 04:45 - 13.08.2021 05:00","3945","4237"
"13.08.2021 05:00 - 13.08.2021 05:15","3993","4282"
"13.08.2021 05:15 - 13.08.2021 05:30","3991","4282"
"13.08.2021 05:30 - 13.08.2021 05:45","4029","4331"
"13.08.2021 05:45 - 13.08.2021 06:00","4040","4376"
"13.08.2021 06:00 - 13.08.2021 06:15","4236","4587"
"13.08.2021 06:15 - 13.08.2021 06:30","4391","4698"
"13.08.2021 06:30 - 13.08.2021 06:45","4524","4805"
"13.08.2021 06:45 - 13.08.2021 07:00","4588","4867"
"13.08.2021 07:00 - 13.08.2021 07:15","4701","4974"
"13.08.2021 07:15 - 13.08.2021 07:30","4765","4977"
"13.08.2021 07:30 - 13.08.2021 07:45","4801","5041"
"13.08.2021 07:45 - 13.08.2021 08:00","4823","5034"
"13.08.2021 08:00 - 13.08.2021 08:15","4831","5036"
"13.08.2021 08:15 - 13.08.2021 08:30","4839","5033"
"13.08.2021 08:30 - 13.08.2021 08:45","4859","5067"
"13.08.2021 08:45 - 13.08.2021 09:00","4890","5037"
"13.08.2021 09:00 - 13.08.2021 09:15","4923","5072"
"13.08.2021 09:15 - 13.08.2021 09:30","4894","5047"
"13.08.2021 09:30 - 13.08.2021 09:45","4924","5059"
"13.08.2021 09:45 - 13.08.2021 10:00","4894","5063"
"13.08.2021 10:00 - 13.08.2021 10:15","4874","5060"
"13.08.2021 10:15 - 13.08.2021 10:30","4917","5118"
"13.08.2021 10:30 - 13.08.2021 10:45","4932","5104"
"13.08.2021 10:45 - 13.08.2021 11:00","4933","5121"
"13.08.2021 11:00 - 13.08.2021 11:15","4929","5123"
"13.08.2021 11:15 - 13.08.2021 11:30","4946","5157"
"13.08.2021 11:30 - 13.08.2021 11:45","4961","5152"
"13.08.2021 11:45 - 13.08.2021 12:00","4985","5200"
"13.08.2021 12:00 - 13.08.2021 12:15","5003","5208"
"13.08.2021 12:15 - 13.08.2021 12:30","5030","5234"
"13.08.2021 12:30 - 13.08.2021 12:45","5077","5254"
"13.08.2021 12:45 - 13.08.2021 13:00","5076","5279"
"13.08.2021 13:00 - 13.08.2021 13:15","5069","5285"
"13.08.2021 13:15 - 13.08.2021 13:30","5079","5295"
"13.08.2021 13:30 - 13.08.2021 13:45","5061","5247"
"13.08.2021 13:45 - 13.08.2021 14:00","5001","5228"
"13.08.2021 14:00 - 13.08.2021 14:15","5034","5248"
"13.08.2021 14:15 - 13.08.2021 14:30","5074","5282"
"13.08.2021 14:30 - 13.08.2021 14:45","5138","5283"
"13.08.2021 14:45 - 13.08.2021 15:00","5142","5341"
"13.08.2021 15:00 - 13.08.2021 15:15","5182","5361"
"13.08.2021 15:15 - 13.08.2021 15:30","5188","5418"
"13.08.2021 15:30 - 13.08.2021 15:45","5270","5447"
"13.08.2021 15:45 - 13.08.2021 16:00","5270","5481"
"13.08.2021 16:00 - 13.08.2021 16:15","5277","5532"
"13.08.2021 16:15 - 13.08.2021 16:30","5295","5570"
"13.08.2021 16:30 - 13.08.2021 16:45","5377","5595"
"13.08.2021 16:45 - 13.08.2021 17:00","5388","5636"
"13.08.2021 17:00 - 13.08.2021 17:15","5388","5647"
"13.08.2021 17:15 - 13.08.2021 17:30","5437","5681"
"13.08.2021 17:30 - 13.08.2021 17:45","5462","5668"
"13.08.2021 17:45 - 13.08.2021 18:00","5500","5686"
"13.08.2021 18:00 - 13.08.2021 18:15","5494","5678"
"13.08.2021 18:15 - 13.08.2021 18:30","5510","5688"
"13.08.2021 18:30 - 13.08.2021 18:45","5545","5678"
"13.08.2021 18:45 - 13.08.2021 19:00","5528","5744"
"13.08.2021 19:00 - 13.08.2021 19:15","5568","5736"
"13.08.2021 19:15 - 13.08.2021 19:30","5553","5703"
"13.08.2021 19:30 - 13.08.2021 19:45","5525","5666"
"13.08.2021 19:45 - 13.08.2021 20:00","5533","5698"
"13.08.2021 20:00 - 13.08.2021 20:15","5507","5671"
"13.08.2021 20:15 - 13.08.2021 20:30","5549","5749"
"13.08.2021 20:30 - 13.08.2021 20:45","5599","5745"
"13.08.2021 20:45 - 13.08.2021 21:00","5574","5708"
"13.08.2021 21:00 - 13.08.2021 21:15","5507","5625"
"13.08.2021 21:15 - 13.08.2021 21:30","5433","5539"
"13.08.2021 21:30 - 13.08.2021 21:45","5258","5429"
"13.08.2021 21:45 - 13.08.2021 22:00","5114","5332"
"13.08.2021 22:00 - 13.08.2021 22:15","5042","5271"
"13.08.2021 22:15 - 13.08.2021 22:30","4973","5223"
"13.08.2021 22:30 - 13.08.2021 22:45","4903","5153"
"13.08.2021 22:45 - 13.08.2021 23:00","4837","5080"
"13.08.2021 23:00 - 13.08.2021 23:15","4780","5034"
"13.08.2021 23:15 - 13.08.2021 23:30","4733","4989"
"13.08.2021 23:30 - 13.08.2021 23:45","4684","4922"
"13.08.2021 23:45 - 14.08.2021 00:00","4606","4849"
"14.08.2021 00:00 - 14.08.2021 00:15","4492","4682"
"14.08.2021 00:15 - 14.08.2021 00:30","4430","4627"
"14.08.2021 00:30 - 14.08.2021 00:45","4386","4572"
"14.08.2021 00:45 - 14.08.2021 01:00","4302","4506"
"14.08.2021 01:00 - 14.08.2021 01:15","4248","4451"
"14.08.2021 01:15 - 14.08.2021 01:30","4162","4380"
"14.08.2021 01:30 - 14.08.2021 01:45","4084","4295"
"14.08.2021 01:45 - 14.08.2021 02:00","4054","4241"
"14.08.2021 02:00 - 14.08.2021 02:15","3985","4183"
"14.08.2021 02:15 - 14.08.2021 02:30","3934","4157"
"14.08.2021 02:30 - 14.08.2021 02:45","3847","4140"
"14.08.2021 02:45 - 14.08.2021 03:00","3810","4106"
"14.08.2021 03:00 - 14.08.2021 03:15","3768","4098"
"14.08.2021 03:15 - 14.08.2021 03:30","3698","4090"
"14.08.2021 03:30 - 14.08.2021 03:45","3678","4053"
"14.08.2021 03:45 - 14.08.2021 04:00","3668","4038"
"14.08.2021 04:00 - 14.08.2021 04:15","3661","4063"
"14.08.2021 04:15 - 14.08.2021 04:30","3663","4061"
"14.08.2021 04:30 - 14.08.2021 04:45","3656","4058"
"14.08.2021 04:45 - 14.08.2021 05:00","3630","4065"
"14.08.2021 05:00 - 14.08.2021 05:15","3618","4088"
"14.08.2021 05:15 - 14.08.2021 05:30","3543","4036"
"14.08.2021 05:30 - 14.08.2021 05:45","3540","4001"
"14.08.2021 05:45 - 14.08.2021 06:00","3520","3986"
"14.08.2021 06:00 - 14.08.2021 06:15","3603","4091"
"14.08.2021 06:15 - 14.08.2021 06:30","3675","4139"
"14.08.2021 06:30 - 14.08.2021 06:45","3704","4184"
"14.08.2021 06:45 - 14.08.2021 07:00","3713","4206"
"14.08.2021 07:00 - 14.08.2021 07:15","3778","4311"
"14.08.2021 07:15 - 14.08.2021 07:30","3842","4343"
"14.08.2021 07:30 - 14.08.2021 07:45","3884","4383"
"14.08.2021 07:45 - 14.08.2021 08:00","3923","4395"
"14.08.2021 08:00 - 14.08.2021 08:15","3967","4444"
"14.08.2021 08:15 - 14.08.2021 08:30","3998","4484"
"14.08.2021 08:30 - 14.08.2021 08:45","4009","4519"
"14.08.2021 08:45 - 14.08.2021 09:00","4019","4529"
"14.08.2021 09:00 - 14.08.2021 09:15","4047","4579"
"14.08.2021 09:15 - 14.08.2021 09:30","4044","4583"
"14.08.2021 09:30 - 14.08.2021 09:45","4046","4595"
"14.08.2021 09:45 - 14.08.2021 10:00","4062","4599"
"14.08.2021 10:00 - 14.08.2021 10:15","4055","4634"
"14.08.2021 10:15 - 14.08.2021 10:30","4061","4666"
"14.08.2021 10:30 - 14.08.2021 10:45","4056","4693"
"14.08.2021 10:45 - 14.08.2021 11:00","4073","4671"
"14.08.2021 11:00 - 14.08.2021 11:15","4101","4727"
"14.08.2021 11:15 - 14.08.2021 11:30","4101","4746"
"14.08.2021 11:30 - 14.08.2021 11:45","4096","4759"
"14.08.2021 11:45 - 14.08.2021 12:00","4117","4760"
"14.08.2021 12:00 - 14.08.2021 12:15","4108","4789"
"14.08.2021 12:15 - 14.08.2021 12:30","4095","4787"
"14.08.2021 12:30 - 14.08.2021 12:45","4088","4804"
"14.08.2021 12:45 - 14.08.2021 13:00","4082","4789"
"14.08.2021 13:00 - 14.08.2021 13:15","4076","4792"
"14.08.2021 13:15 - 14.08.2021 13:30","4050","4745"
"14.08.2021 13:30 - 14.08.2021 13:45","4033","4729"
"14.08.2021 13:45 - 14.08.2021 14:00","4018","4716"
"14.08.2021 14:00 - 14.08.2021 14:15","4054","4786"
"14.08.2021 14:15 - 14.08.2021 14:30","4048","4825"
"14.08.2021 14:30 - 14.08.2021 14:45","4034","4859"
"14.08.2021 14:45 - 14.08.2021 15:00","4066","4873"
"14.08.2021 15:00 - 14.08.2021 15:15","4093","4888"
"14.08.2021 15:15 - 14.08.2021 15:30","4110","4924"
"14.08.2021 15:30 - 14.08.2021 15:45","4142","4933"
"14.08.2021 15:45 - 14.08.2021 16:00","4175","4966"
"14.08.2021 16:00 - 14.08.2021 16:15","4227","4985"
"14.08.2021 16:15 - 14.08.2021 16:30","4255","5056"
"14.08.2021 16:30 - 14.08.2021 16:45","4297","5073"
"14.08.2021 16:45 - 14.08.2021 17:00","4331","5098"
"14.08.2021 17:00 - 14.08.2021 17:15","4367","5098"
"14.08.2021 17:15 - 14.08.2021 17:30","4391","5136"
"14.08.2021 17:30 - 14.08.2021 17:45","4403","5163"
"14.08.2021 17:45 - 14.08.2021 18:00","4431","5182"
"14.08.2021 18:00 - 14.08.2021 18:15","4479","5196"
"14.08.2021 18:15 - 14.08.2021 18:30","4517","5247"
"14.08.2021 18:30 - 14.08.2021 18:45","4554","5268"
"14.08.2021 18:45 - 14.08.2021 19:00","4577","5303"
"14.08.2021 19:00 - 14.08.2021 19:15","4615","5302"
"14.08.2021 19:15 - 14.08.2021 19:30","4622","5309"
"14.08.2021 19:30 - 14.08.2021 19:45","4633","5327"
"14.08.2021 19:45 - 14.08.2021 20:00","4646","5339"
"14.08.2021 20:00 - 14.08.2021 20:15","4660","5330"
"14.08.2021 20:15 - 14.08.2021 20:30","4712","5422"
"14.08.2021 20:30 - 14.08.2021 20:45","4833","5494"
"14.08.2021 20:45 - 14.08.2021 21:00","4827","5447"
"14.08.2021 21:00 - 14.08.2021 21:15","4809","5382"
"14.08.2021 21:15 - 14.08.2021 21:30","4756","5302"
"14.08.2021 21:30 - 14.08.2021 21:45","4670","5199"
"14.08.2021 21:45 - 14.08.2021 22:00","4600","5109"
"14.08.2021 22:00 - 14.08.2021 22:15","4533","4996"
"14.08.2021 22:15 - 14.08.2021 22:30","4451","4913"
