"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"02.01.2021 19:30 - 02.01.2021 19:45","5006","4967"
"02.01.2021 19:45 - 02.01.2021 20:00","4971","4968"
"02.01.2021 20:00 - 02.01.2021 20:15","4954","4929"
"02.01.2021 20:15 - 02.01.2021 20:30","4918","4903"
"02.01.2021 20:30 - 02.01.2021 20:45","4903","4893"
"02.01.2021 20:45 - 02.01.2021 21:00","4849","4832"
"02.01.2021 21:00 - 02.01.2021 21:15","4780","4774"
"02.01.2021 21:15 - 02.01.2021 21:30","4743","4753"
"02.01.2021 21:30 - 02.01.2021 21:45","4671","4666"
"02.01.2021 21:45 - 02.01.2021 22:00","4580","4601"
"02.01.2021 22:00 - 02.01.2021 22:15","4519","4545"
"02.01.2021 22:15 - 02.01.2021 22:30","4454","4511"
"02.01.2021 22:30 - 02.01.2021 22:45","4407","4464"
"02.01.2021 22:45 - 02.01.2021 23:00","4351","4403"
"02.01.2021 23:00 - 02.01.2021 23:15","4294","4349"
"02.01.2021 23:15 - 02.01.2021 23:30","4181","4272"
"02.01.2021 23:30 - 02.01.2021 23:45","4083","4234"
"02.01.2021 23:45 - 03.01.2021 00:00","4005","4173"
"03.01.2021 00:00 - 03.01.2021 00:15","3840","4019"
"03.01.2021 00:15 - 03.01.2021 00:30","3766","3955"
"03.01.2021 00:30 - 03.01.2021 00:45","3712","3944"
"03.01.2021 00:45 - 03.01.2021 01:00","3640","3892"
"03.01.2021 01:00 - 03.01.2021 01:15","3554","3871"
"03.01.2021 01:15 - 03.01.2021 01:30","3502","3827"
"03.01.2021 01:30 - 03.01.2021 01:45","3459","3783"
"03.01.2021 01:45 - 03.01.2021 02:00","3411","3711"
"03.01.2021 02:00 - 03.01.2021 02:15","3393","3659"
"03.01.2021 02:15 - 03.01.2021 02:30","3354","3642"
"03.01.2021 02:30 - 03.01.2021 02:45","3295","3596"
"03.01.2021 02:45 - 03.01.2021 03:00","3285","3574"
"03.01.2021 03:00 - 03.01.2021 03:15","3258","3558"
"03.01.2021 03:15 - 03.01.2021 03:30","3212","3530"
"03.01.2021 03:30 - 03.01.2021 03:45","3198","3515"
"03.01.2021 03:45 - 03.01.2021 04:00","3181","3501"
"03.01.2021 04:00 - 03.01.2021 04:15","3186","3529"
"03.01.2021 04:15 - 03.01.2021 04:30","3219","3532"
"03.01.2021 04:30 - 03.01.2021 04:45","3233","3570"
"03.01.2021 04:45 - 03.01.2021 05:00","3222","3580"
"03.01.2021 05:00 - 03.01.2021 05:15","3250","3611"
"03.01.2021 05:15 - 03.01.2021 05:30","3263","3636"
"03.01.2021 05:30 - 03.01.2021 05:45","3304","3648"
"03.01.2021 05:45 - 03.01.2021 06:00","3337","3664"
"03.01.2021 06:00 - 03.01.2021 06:15","3433","3773"
"03.01.2021 06:15 - 03.01.2021 06:30","3491","3827"
"03.01.2021 06:30 - 03.01.2021 06:45","3528","3885"
