"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|CZ","Without Sequence","180.93","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|CZ","Without Sequence","166.69","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|CZ","Without Sequence","189.88","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|CZ","Without Sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|CZ","Without Sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|CZ","Without Sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|CZ","Without Sequence","140.92","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|CZ","Without Sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|CZ","Without Sequence","97.56","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|CZ","Without Sequence","105.31","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|CZ","Without Sequence","97.29","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|CZ","Without Sequence","84.50","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|CZ","Without Sequence","75.38","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|CZ","Without Sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|CZ","Without Sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|CZ","Without Sequence","118.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|CZ","Without Sequence","124.69","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|CZ","Without Sequence","147.74","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|CZ","Without Sequence","147.18","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|CZ","Without Sequence","138.56","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|CZ","Without Sequence","129.99","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|CZ","Without Sequence","131.97","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|CZ","Without Sequence","130.67","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|CZ","Without Sequence","134.60","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|CZ","Without Sequence","146.61","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|CZ","Without Sequence","161.18","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|CZ","Without Sequence","170.00","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|CZ","Without Sequence","139.88","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|CZ","Without Sequence","135.75","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|CZ","Without Sequence","119.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|CZ","Without Sequence","98.09","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|CZ","Without Sequence","118.71","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|CZ","Without Sequence","99.68","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|CZ","Without Sequence","99.85","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|CZ","Without Sequence","101.32","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|CZ","Without Sequence","110.01","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|CZ","Without Sequence","111.55","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|CZ","Without Sequence","123.37","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|CZ","Without Sequence","149.94","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|CZ","Without Sequence","185.92","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|CZ","Without Sequence","228.25","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|CZ","Without Sequence","228.92","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|CZ","Without Sequence","212.90","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|CZ","Without Sequence","215.50","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|CZ","Without Sequence","231.90","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|CZ","Without Sequence","226.00","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|CZ","Without Sequence","209.20","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|CZ","Without Sequence","216.06","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|CZ","Without Sequence","230.77","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|CZ","Without Sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|CZ","Without Sequence","274.11","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|CZ","Without Sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|CZ","Without Sequence","245.48","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|CZ","Without Sequence","226.14","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|CZ","Without Sequence","208.31","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|CZ","Without Sequence","178.75","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|CZ","Without Sequence","124.70","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|CZ","Without Sequence","128.92","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|CZ","Without Sequence","118.40","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|CZ","Without Sequence","103.01","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|CZ","Without Sequence","101.91","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|CZ","Without Sequence","101.98","",""
