"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2021 16:00 - 02.01.2021 16:15","52857","53930"
"02.01.2021 16:15 - 02.01.2021 16:30","53389","54444"
"02.01.2021 16:30 - 02.01.2021 16:45","54095","55414"
"02.01.2021 16:45 - 02.01.2021 17:00","55012","56341"
"02.01.2021 17:00 - 02.01.2021 17:15","56047","57437"
"02.01.2021 17:15 - 02.01.2021 17:30","56620","57953"
"02.01.2021 17:30 - 02.01.2021 17:45","57060","58596"
"02.01.2021 17:45 - 02.01.2021 18:00","57475","58822"
"02.01.2021 18:00 - 02.01.2021 18:15","57628","58979"
"02.01.2021 18:15 - 02.01.2021 18:30","57096","58806"
"02.01.2021 18:30 - 02.01.2021 18:45","56923","58534"
"02.01.2021 18:45 - 02.01.2021 19:00","56468","58108"
"02.01.2021 19:00 - 02.01.2021 19:15","56178","57525"
"02.01.2021 19:15 - 02.01.2021 19:30","55599","57042"
"02.01.2021 19:30 - 02.01.2021 19:45","54920","56435"
"02.01.2021 19:45 - 02.01.2021 20:00","54428","55681"
"02.01.2021 20:00 - 02.01.2021 20:15","53630","54580"
"02.01.2021 20:15 - 02.01.2021 20:30","52297","53573"
"02.01.2021 20:30 - 02.01.2021 20:45","51217","52787"
"02.01.2021 20:45 - 02.01.2021 21:00","50592","51895"
"02.01.2021 21:00 - 02.01.2021 21:15","50296","51465"
"02.01.2021 21:15 - 02.01.2021 21:30","49598","50985"
"02.01.2021 21:30 - 02.01.2021 21:45","49176","50517"
"02.01.2021 21:45 - 02.01.2021 22:00","48814","50226"
"02.01.2021 22:00 - 02.01.2021 22:15","49327","50833"
"02.01.2021 22:15 - 02.01.2021 22:30","48774","50322"
"02.01.2021 22:30 - 02.01.2021 22:45","48163","49609"
"02.01.2021 22:45 - 02.01.2021 23:00","47442","49130"
"02.01.2021 23:00 - 02.01.2021 23:15","46544","48725"
"02.01.2021 23:15 - 02.01.2021 23:30","45924","48132"
"02.01.2021 23:30 - 02.01.2021 23:45","45217","47814"
"02.01.2021 23:45 - 03.01.2021 00:00","44643","47208"
"03.01.2021 00:00 - 03.01.2021 00:15","43275","45942"
