"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|FR","Without Sequence","66.04","",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|FR","Without Sequence","71.90","",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|FR","Without Sequence","80.00","",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|FR","Without Sequence","80.00","",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|FR","Without Sequence","70.12","",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|FR","Without Sequence","58.87","",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|FR","Without Sequence","58.50","",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|FR","Without Sequence","55.51","",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|FR","Without Sequence","53.73","",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|FR","Without Sequence","52.95","",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|FR","Without Sequence","52.73","",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|FR","Without Sequence","50.12","",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|FR","Without Sequence","47.20","",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|FR","Without Sequence","49.29","",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|FR","Without Sequence","55.00","",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|FR","Without Sequence","67.61","",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|FR","Without Sequence","73.60","",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|FR","Without Sequence","91.73","",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|FR","Without Sequence","86.99","",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|FR","Without Sequence","80.02","",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|FR","Without Sequence","78.76","",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|FR","Without Sequence","73.79","",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|FR","Without Sequence","73.02","",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|FR","Without Sequence","70.89","",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|FR","Without Sequence","72.85","",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|FR","Without Sequence","79.63","",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|FR","Without Sequence","101.07","",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|FR","Without Sequence","96.85","",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|FR","Without Sequence","79.60","",""
